Year,Day,Hour,Minute,proton_density,proton_speed
1999,1,0,0,6.289,410.39
1999,1,0,12,5.844,415.18
1999,1,0,24,5.984,419.24
1999,1,0,36,6.16,414.11
1999,1,0,48,6.098,417.2
1999,1,1,0,7.149,394.44
1999,1,1,12,7.452,388.93
1999,1,1,24,6.905,393.98
1999,1,1,36,6.899,406.18
1999,1,1,48,6.741,419.52
1999,1,2,0,6.516,421.7
1999,1,2,12,6.83,412.77
1999,1,2,24,6.876,404.46
1999,1,2,36,6.976,393.57
1999,1,2,48,6.762,392.58
1999,1,3,0,6.58,408.66
1999,1,3,12,6.231,415.57
1999,1,3,24,7.234,416.58
1999,1,3,36,7.567,416.71
1999,1,3,48,8.0,408.45
1999,1,4,0,7.12,403.49
1999,1,4,12,6.797,412.1
1999,1,4,24,6.456,415.93
1999,1,4,36,7.153,425.92
1999,1,4,48,7.224,419.48
1999,1,5,0,7.424,409.82
1999,1,5,12,7.024,406.57
1999,1,5,24,7.269,422.7
1999,1,5,36,6.301,423.71
1999,1,5,48,6.257,433.92
1999,1,6,0,6.621,421.65
1999,1,6,12,6.408,425.16
1999,1,6,24,6.723,418.65
1999,1,6,36,7.06,412.12
1999,1,6,48,7.19,436.54
1999,1,7,0,7.057,426.72
1999,1,7,12,7.579,419.21
1999,1,7,24,8.05,423.38
1999,1,7,36,7.276,425.04
1999,1,7,48,8.023,429.22
1999,1,8,0,8.146,421.24
1999,1,8,12,7.281,436.64
1999,1,8,24,7.537,433.26
1999,1,8,36,8.127,428.64
1999,1,8,48,7.935,425.12
1999,1,9,0,7.504,421.87
1999,1,9,12,7.683,416.54
1999,1,9,24,7.833,420.0
1999,1,9,36,7.647,429.03
1999,1,9,48,7.568,419.94
1999,1,10,0,7.535,423.74
1999,1,10,12,7.571,435.08
1999,1,10,24,7.235,433.47
1999,1,10,36,7.288,437.84
1999,1,10,48,7.493,421.61
1999,1,11,0,6.972,429.1
1999,1,11,12,6.621,433.17
1999,1,11,24,6.904,440.68
1999,1,11,36,7.06,445.72
1999,1,11,48,6.591,443.04
1999,1,12,0,7.12,431.77
1999,1,12,12,6.715,444.4
1999,1,12,24,6.561,435.26
1999,1,12,36,6.547,450.48
1999,1,12,48,7.39,423.72
1999,1,13,0,7.333,419.03
1999,1,13,12,7.388,431.93
1999,1,13,24,6.733,424.44
1999,1,13,36,7.043,417.13
1999,1,13,48,6.893,423.97
1999,1,14,0,6.684,431.18
1999,1,14,12,6.646,422.33
1999,1,14,24,6.123,454.56
1999,1,14,36,6.608,453.28
1999,1,14,48,6.804,454.56
1999,1,15,0,6.398,444.6
1999,1,15,12,6.34,453.94
1999,1,15,24,6.699,433.49
